"type","value"
strict              , "no"
digraph             , "yes"
graph_id            , "graph_51"
start_scope         , "1"
class_id            , "edge"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "blue"
end_attribute       , "]"
class_id            , "node"
start_attribute     , "["
attribute_id        , "shape"
attribute_value     , "Mdiamond"
end_attribute       , "]"
node_id             , "A"
class_id            , "node"
start_attribute     , "["
attribute_id        , "shape"
attribute_value     , "Msquare"
end_attribute       , "]"
node_id             , "B"
class_id            , "graph"
start_attribute     , "["
attribute_id        , "label"
attribute_value     , "Class Demo"
attribute_id        , "rankdir"
attribute_value     , "LR"
end_attribute       , "]"
node_id             , "A"
edge_id             , "->"
node_id             , "B"
end_scope           , "1"
