"type","value"
strict              , "no"
digraph             , "yes"
graph_id            , "Perl"
start_scope         , "1"
class_id            , "graph"
start_attribute     , "["
attribute_id        , "rankdir"
attribute_value     , "LR"
end_attribute       , "]"
class_id            , "node"
start_attribute     , "["
attribute_id        , "shape"
attribute_value     , "oval"
end_attribute       , "]"
class_id            , "edge"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "grey"
end_attribute       , "]"
class_id            , "node"
start_attribute     , "["
attribute_id        , "style"
attribute_value     , "filled"
end_attribute       , "]"
node_id             , "A"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "aquamarine"
end_attribute       , "]"
node_id             , "B"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "yellow"
end_attribute       , "]"
node_id             , "C"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "pink"
end_attribute       , "]"
node_id             , "D"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "bisque"
end_attribute       , "]"
node_id             , "E"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "blueviolet"
end_attribute       , "]"
node_id             , "K"
node_id             , "D"
edge_id             , "->"
node_id             , "K"
start_attribute     , "["
attribute_id        , "arrowhead"
attribute_value     , "none"
attribute_id        , "label"
attribute_value     , ""
attribute_id        , "samehead"
attribute_value     , "1"
end_attribute       , "]"
node_id             , "A"
edge_id             , "->"
node_id             , "K"
start_attribute     , "["
attribute_id        , "arrowhead"
attribute_value     , "none"
attribute_id        , "label"
attribute_value     , ""
attribute_id        , "samehead"
attribute_value     , "1"
end_attribute       , "]"
node_id             , "K"
edge_id             , "->"
node_id             , "B"
start_attribute     , "["
attribute_id        , "label"
attribute_value     , ""
attribute_id        , "sametail"
attribute_value     , "1"
end_attribute       , "]"
node_id             , "K"
edge_id             , "->"
node_id             , "E"
start_attribute     , "["
attribute_id        , "label"
attribute_value     , ""
attribute_id        , "sametail"
attribute_value     , "1"
end_attribute       , "]"
node_id             , "B"
edge_id             , "->"
node_id             , "C"
edge_id             , "->"
node_id             , "X"
edge_id             , "->"
node_id             , "Y"
start_attribute     , "["
attribute_id        , "arrowhead"
attribute_value     , "odot"
end_attribute       , "]"
node_id             , "F"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "lawngreen"
end_attribute       , "]"
node_id             , "G"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "coral"
end_attribute       , "]"
node_id             , "H"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "crimson"
end_attribute       , "]"
node_id             , "L"
node_id             , "F"
edge_id             , "->"
node_id             , "L"
start_attribute     , "["
attribute_id        , "arrowhead"
attribute_value     , "none"
attribute_id        , "label"
attribute_value     , ""
attribute_id        , "samehead"
attribute_value     , "1"
end_attribute       , "]"
node_id             , "G"
edge_id             , "->"
node_id             , "L"
start_attribute     , "["
attribute_id        , "arrowhead"
attribute_value     , "none"
attribute_id        , "label"
attribute_value     , ""
attribute_id        , "samehead"
attribute_value     , "1"
end_attribute       , "]"
node_id             , "L"
edge_id             , "->"
node_id             , "H"
start_attribute     , "["
attribute_id        , "label"
attribute_value     , ""
attribute_id        , "sametail"
attribute_value     , "1"
end_attribute       , "]"
node_id             , "I"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "aquamarine"
end_attribute       , "]"
node_id             , "J"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "bisque"
end_attribute       , "]"
node_id             , "M"
node_id             , "I"
edge_id             , "->"
node_id             , "M"
start_attribute     , "["
attribute_id        , "arrowhead"
attribute_value     , "none"
attribute_id        , "label"
attribute_value     , ""
attribute_id        , "samehead"
attribute_value     , "1"
end_attribute       , "]"
end_scope           , "1"
